Frame,Fx,Fy,Fz,Cx,Cy,LASI_X,LASI_Y,LASI_Z,RASI_X,RASI_Y,RASI_Z,LPSI_X,LPSI_Y,LPSI_Z,RPSI_X,RPSI_Y,RPSI_Z,LTHI_X,LTHI_Y,LTHI_Z,LKNE_X,LKNE_Y,LKNE_Z,LANK_X,LANK_Y,LANK_Z,LHEE_X,LHEE_Y,LHEE_Z,LP1M_X,LP1M_Y,LP1M_Z,LTOE_X,LTOE_Y,LTOE_Z,LD5M_X,LD5M_Y,LD5M_Z,LLCA_X,LLCA_Y,LLCA_Z,RTHI_X,RTHI_Y,RTHI_Z,RKNE_X,RKNE_Y,RKNE_Z,RANK_X,RANK_Y,RANK_Z,RHEE_X,RHEE_Y,RHEE_Z,RP1M_X,RP1M_Y,RP1M_Z,RTOE_X,RTOE_Y,RTOE_Z,RD5M_X,RD5M_Y,RD5M_Z,RLCA_X,RLCA_Y,RLCA_Z,1,5,4,6,2,3
21,-2.50608,2.998534,583.3155,0.829592029,0.380939351,0.752999084,0.221289093,0.912169922,0.731101257,0.511938446,0.902466858,0.972889099,0.378311859,0.834842834,0.870418396,0.366875183,1.453890869,0.860944641,0.191130692,0.835039734,0.76556311,0.295568359,0.469530457,0.891680481,0.25628067,0.071318573,0.914704346,0.272326385,0.023973127,0.741174194,0.288381714,0.024886488,0.693299011,0.243114014,0.018959436,0.778435425,0.20244725,0.01619524,0.893635193,0.336803497,0.018595314,0.876824158,0.543345703,0.823405701,0.772819702,0.448852997,0.465605225,0.89772113,0.481323608,0.07232605,0.914260071,0.469489197,0.019928499,0.745241089,0.435330688,0.02500255,0.694889282,0.478054749,0.019019255,0.781766296,0.523119568,0.018314447,0.896046082,0.402052917,0.020633945,2569497,4295513,2665648,4472697,4061806,1867948
22,-2.471977,3.066284,583.4836,0.829463903,0.380801092,0.75298175,0.221295273,0.912166443,0.731120911,0.511984039,0.902487976,0.972905945,0.37830014,0.834836487,0.870424316,0.366713135,1.453659424,0.860944763,0.191129578,0.835024536,0.765560913,0.295600647,0.469518646,0.891693237,0.256280884,0.07131134,0.914704956,0.272317535,0.023978092,0.741148804,0.28837616,0.024927393,0.693319458,0.243145203,0.018942074,0.778393188,0.202424576,0.016206257,0.893589294,0.336772186,0.018544479,0.876876892,0.543350525,0.823444275,0.772819885,0.448815704,0.465587555,0.897717346,0.481320068,0.072327324,0.914283691,0.469443176,0.019967072,0.745232239,0.435331482,0.024962109,0.694890442,0.478009094,0.018999403,0.781782104,0.523132019,0.01826491,0.896054382,0.40204837,0.020606327,2569889,4296361,2665253,4471799,4061879,1867948
23,-2.167454,2.859707,582.9119,0.829336544,0.381062248,0.752980286,0.221306656,0.912135437,0.731140015,0.511988892,0.902483398,0.972907715,0.378301056,0.834858459,0.870405762,0.366916016,1.453911499,0.860932983,0.191149689,0.835017517,0.765522034,0.295614044,0.469558075,0.891691833,0.256289368,0.071300041,0.914671509,0.272316681,0.023981508,0.741191895,0.288372223,0.024918173,0.693340393,0.243171295,0.018928646,0.77840686,0.202401352,0.01623033,0.89353064,0.336700867,0.018502903,0.876888733,0.543357605,0.823417603,0.772757813,0.448794006,0.465590363,0.897701233,0.481297943,0.072350235,0.914302979,0.469450012,0.020004158,0.74522937,0.435339417,0.025006418,0.694867737,0.47799942,0.018975922,0.781781006,0.523089539,0.018250763,0.896050232,0.402010529,0.020575506,2570279,4296457,2665253,4470756,4062682,1868415
24,-2.236077,2.907562,582.5888,0.82957662,0.381125262,0.753003296,0.221318878,0.91214502,0.731184753,0.512031006,0.902487305,0.972947327,0.378316284,0.834857788,0.87047583,0.366829834,1.453893677,0.860937744,0.191129501,0.835020325,0.765494019,0.295607819,0.469557037,0.891671936,0.256279083,0.071310463,0.914682373,0.272283386,0.023963583,0.741213928,0.28834967,0.024848555,0.693311829,0.243155273,0.018922823,0.778378601,0.202373871,0.016251438,0.893748535,0.336934723,0.018731087,0.876933228,0.543382813,0.82339856,0.772783386,0.448805725,0.465584656,0.897712036,0.481255859,0.072276054,0.914252625,0.469470001,0.019949751,0.745204895,0.435356628,0.024970572,0.694855774,0.478010162,0.01898901,0.781775391,0.523102661,0.01820887,0.895995483,0.402019073,0.020589005,2570279,4296239,2665007,4470756,4062487,1868267
25,-2.330927,3.152938,584.1074,0.829184393,0.381210156,0.752981567,0.221355591,0.912126587,0.731198486,0.512013977,0.902477173,0.97290863,0.378303009,0.83481897,0.870680481,0.366492523,1.453689331,0.860942444,0.191133774,0.83501239,0.765539368,0.295644653,0.469533813,0.891635376,0.256275543,0.071370415,0.914711426,0.272324646,0.024006176,0.741223816,0.288421204,0.024888515,0.693321838,0.243127304,0.018911066,0.778382935,0.202406998,0.016224306,0.893506836,0.336733826,0.018423586,0.876944214,0.54336499,0.823393799,0.772747314,0.448835876,0.465595673,0.897680847,0.481251984,0.072272392,0.914264648,0.469456421,0.019991983,0.745234131,0.435325714,0.024919155,0.694743225,0.477972961,0.019033678,0.781777405,0.523106323,0.018225342,0.89607782,0.401998291,0.020574413,2570182,4296239,2665401,4469761,4062487,1868415
26,-2.366566,3.13894,583.4056,0.829585687,0.381220192,0.753048279,0.221340347,0.912122437,0.731242004,0.512015625,0.902475647,0.972940002,0.378296021,0.834823059,0.870451965,0.366866608,1.453898315,0.860957458,0.19113295,0.835024414,0.765473572,0.29561142,0.469541138,0.891643066,0.256281921,0.071382164,0.914689819,0.272334015,0.024017941,0.741170776,0.288416107,0.024917799,0.693296875,0.243153168,0.018912859,0.778364258,0.202405289,0.016215277,0.893595703,0.337176636,0.018165182,0.876988464,0.543372437,0.823385559,0.772747437,0.44883728,0.465602081,0.897684387,0.481238159,0.072301773,0.914258423,0.469469879,0.019965126,0.745238464,0.435389984,0.025000328,0.694848511,0.478000977,0.018991114,0.781752869,0.523072083,0.018226768,0.895991699,0.402000214,0.02060474,2569815,4296215,2665574,4469373,4062293,1867948
27,-2.519878,2.912396,583.9951,0.82939119,0.381297968,0.753191772,0.221205414,0.912430115,0.731272705,0.512049927,0.902499939,0.972959167,0.378318573,0.834792664,0.87039563,0.36689978,1.453921753,0.860968811,0.191123886,0.835022827,0.765490112,0.295626556,0.469550873,0.89163031,0.25626593,0.071374054,0.914692444,0.272310394,0.023977833,0.741171631,0.288432068,0.02496677,0.693345276,0.243185181,0.018904158,0.778403198,0.202414948,0.016204983,0.893411072,0.336518799,0.018473185,0.877009827,0.543364319,0.823355103,0.772765198,0.448856873,0.465604584,0.897668762,0.481228119,0.072324196,0.91426825,0.469459351,0.019981258,0.745216919,0.435333374,0.02496541,0.69485907,0.478013336,0.018985106,0.781769226,0.523107361,0.018216696,0.896015747,0.402023834,0.020654762,2569742,4295247,2665869,4468038,4061806,1868243
28,-2.525383,2.855666,584.4796,0.829599666,0.38130115,0.753134644,0.221308578,0.912200439,0.731302185,0.512035706,0.902520508,0.972999939,0.378276917,0.83476825,0.870568665,0.366723999,1.453898682,0.860982544,0.191132996,0.835026733,0.765460022,0.295623993,0.469548798,0.891637756,0.25629657,0.071366447,0.914677673,0.27231601,0.023979305,0.741149231,0.288406708,0.024944849,0.693321716,0.243152405,0.018916569,0.778390442,0.202440231,0.016221394,0.89356488,0.336644714,0.018625141,0.877051208,0.543372925,0.823384705,0.77279541,0.448867157,0.46561087,0.897706177,0.481328064,0.072352974,0.914272278,0.469480103,0.019970392,0.745216797,0.435308411,0.024966955,0.694847961,0.478021088,0.019028536,0.781790222,0.523145569,0.018271072,0.896011841,0.402026398,0.020644358,2569742,4294036,2665549,4467431,4061611,1868169
29,-2.668894,2.606779,584.5443,0.82965599,0.381286714,0.75328418,0.221175995,0.912465088,0.73132074,0.51201593,0.902507996,0.973038879,0.378260895,0.834749634,0.870291138,0.366943512,1.453819824,0.861030396,0.191150131,0.835002197,0.765452698,0.295629913,0.469563873,0.891667236,0.256286133,0.071319412,0.914659973,0.272321564,0.023969578,0.741156433,0.288422913,0.024971096,0.693356812,0.243179489,0.018901655,0.778433594,0.202412582,0.016224506,0.893420166,0.336546265,0.018451653,0.877076843,0.543358521,0.823370911,0.772790955,0.448872589,0.465615936,0.897721313,0.481326599,0.072358543,0.914240723,0.469456757,0.019938015,0.745234009,0.4353573,0.024977566,0.694888733,0.478025055,0.019012604,0.781749695,0.523114685,0.018249525,0.89601416,0.402021667,0.020582787,2569204,4294278,2665598,4466606,4061806,1868219
30,-2.508974,2.988813,584.2183,0.829529077,0.381260148,0.753309875,0.221173279,0.912461365,0.731340271,0.512060913,0.902535767,0.973057922,0.378283813,0.834749695,0.870483521,0.366696228,1.453697266,0.861066406,0.191143433,0.834997681,0.765492615,0.295637909,0.469590057,0.891674255,0.256286316,0.071317154,0.914675842,0.27231369,0.023974573,0.741273438,0.28835965,0.0248601,0.69332074,0.243169998,0.018937649,0.778438843,0.202418747,0.016220287,0.893639648,0.336879089,0.018509455,0.877085266,0.543354736,0.823365662,0.772805908,0.448868225,0.465612701,0.897714111,0.481255188,0.072332626,0.914278015,0.469454834,0.019936497,0.745258789,0.435372467,0.024985554,0.694843689,0.478016357,0.019046249,0.781798584,0.523129822,0.018307564,0.896033997,0.402022644,0.020569866,2569106,4295198,2665771,4465684,4062146,1868169
