Frame,Sub Frame,Fx,Fy,Fz,Cx,Cy
13,4,-1.64862,3.71549,584.238,0.8300720755277122,0.3810193751177682
13,5,-1.70369,3.44426,585.519,0.8298419593388989,0.3810253303294358
13,6,-1.96777,3.49088,585.145,0.8301246799091333,0.3803176395681804
13,7,-2.09383,3.60696,584.64,0.8303325006544259,0.3805297124941423
13,8,-2.38885,3.55277,583.179,0.8306141321458584,0.3808872967878878
13,9,-2.32701,3.3825,584.181,0.8310059201515685,0.38063944573144126
14,0,-2.08197,3.26639,584.287,0.8311479768130164,0.38070297847369494
14,1,-2.09379,3.69451,584.21,0.830984151113725,0.38121989315635707
14,2,-2.38873,3.51936,584.487,0.8302867812324902,0.38084184759078776
14,3,-2.25811,3.36188,584.84,0.8301336556257244,0.3806503730803364
14,4,-1.78717,3.8646,585.47,0.829935393908156,0.3805999929677243
14,5,-1.74162,4.15896,584.793,0.8295977042861932,0.3807093152770606
14,6,-2.72586,3.90134,584.563,0.8295432724849224,0.38060507129828763
14,7,-2.30389,3.66902,585.116,0.8299469676892823,0.3806283009964518
14,8,-1.76823,2.95493,584.44,0.8309452272095897,0.38094971446865783
14,9,-1.60376,2.99262,584.21,0.8311779465998803,0.3809700515722566
15,0,-1.86028,2.98009,585.04,0.8306804355005771,0.3809339234921788
15,1,-2.4191,2.51105,584.44,0.8306623378104951,0.38054298557125826
15,2,-2.62193,2.90952,586.145,0.83044154479979,0.38079245936712425
15,3,-2.02108,3.12951,584.195,0.8300487347065828,0.3810417651528061
15,4,-2.39977,3.97184,583.78,0.8299196440004731,0.38104679605691233
15,5,-2.69077,4.34972,583.304,0.8297252650778283,0.3806731477151103
15,6,-3.00455,4.24195,582.874,0.8299409739323279,0.3807602655237975
15,7,-2.73697,3.67772,582.797,0.8301238912271934,0.3807009113719708
15,8,-2.77876,3.38281,583.626,0.8300750141101157,0.38128831017374537
15,9,-2.67946,2.96796,583.857,0.8302255286893556,0.38099052944596695
16,0,-2.77873,2.71461,584.133,0.830307732741475,0.38064658175181104
16,1,-2.67949,2.59833,584.762,0.8305610509871656,0.38115711587300194
16,2,-2.50343,3.09986,585.469,0.8305645479900398,0.3811242349382388
16,3,-1.98332,2.79804,585.347,0.8302181791842205,0.3806163457669078
16,4,-1.71114,3.19521,584.166,0.8298000473455347,0.3806881288678253
16,5,-2.22304,3.4158,583.857,0.8299776380186664,0.3809152069374768
16,6,-2.85848,3.21289,584.133,0.8301635422534148,0.38065810534296096
16,7,-2.44296,4.19444,582.278,0.8303285099920366,0.3806614872527787
16,8,-2.63279,3.59185,582.014,0.830237306452559,0.38093912146318293
16,9,-2.59157,3.04293,582.919,0.8302150764035685,0.38082176233476983
17,0,-2.69054,2.81024,583.978,0.8302837196832985,0.38104453447002895
17,1,-2.52287,2.61933,584.762,0.8298673371463253,0.38106671833361855
17,2,-2.25879,2.72657,584.917,0.8300164888513653,0.3807267422094809
17,3,-2.47581,2.76842,584.365,0.8300521908389604,0.3807467437014691
17,4,-2.96537,3.14102,584.762,0.8294960212458995,0.38095240727470064
17,5,-2.94382,3.17122,584.917,0.8295560923951819,0.3810143616016188
17,6,-2.76776,3.52279,583.814,0.8299991422716223,0.380815770376772
17,7,-2.523,3.55309,583.779,0.8299927613909022,0.3807747293246262
17,8,-3.22062,3.15968,584.133,0.8300095286452197,0.3805916316783206
17,9,-3.29602,2.60793,585.037,0.8301788769198933,0.38083469708570106
18,0,-2.50186,2.33309,583.065,0.8301440944108516,0.3810848802974975
18,1,-2.49494,2.21664,582.444,0.829499630556928,0.3811769373960071
18,2,-2.75902,2.79129,582.995,0.8291156603388856,0.3810396425961914
18,3,-2.88579,3.55493,585.079,0.8286669988433455,0.38121247613032105
18,4,-2.56193,3.42529,585.072,0.8290279112096548,0.380956157790273
18,5,-2.32771,3.78779,583.54,0.8297881674872706,0.3810773538394904
18,6,-2.90658,3.31863,582.6,0.8304611403230985,0.38081938839173096
18,7,-2.94401,2.70382,583.27,0.8305543118277107,0.38061010169930093
18,8,-2.69934,2.42869,584.054,0.8309950843724242,0.38129060634787193
18,9,-2.77828,2.31218,582.834,0.8306926810380947,0.3810501816979576
19,0,-2.47415,2.14234,583.82,0.8303330754802608,0.3808227145951164
19,1,-3.40581,2.0258,585.311,0.8295184450363106,0.3808583052103046
19,2,-3.21741,3.34336,583.697,0.8290751139677301,0.38061203144773276
19,3,-3.08125,3.79741,583.976,0.8285039430354729,0.38095009355540604
19,4,-2.25843,3.22369,583.66,0.8290573881805112,0.3809247994071971
19,5,-2.09338,3.57522,583.504,0.8293518998711308,0.3812242015957134
19,6,-3.0726,3.4257,581.853,0.8298397181900431,0.3811737034043241
19,7,-2.93408,3.26687,582.209,0.8304476222924793,0.381383278543931
19,8,-2.40591,2.79981,583.819,0.829886210680713,0.3810752343537991
19,9,-2.83718,2.67296,583.385,0.8298354457627288,0.38105928582715676
20,0,-2.71911,2.97018,582.601,0.8302307293844715,0.3812421266893348
20,1,-2.70958,2.98051,583.269,0.8301963248414304,0.38073895968374116
