Frame,Fx,Fy,Fz,Cx,Cy
38,-2.5161100000000003,3.103011,584.3782,0.8304036908383032,0.3809546541546599
39,-2.579384,3.329375,584.5379,0.8302329054105767,0.38088618795630425
40,-2.448376,3.5485599999999997,584.4628,0.8304258929095202,0.38093482121262706
41,-2.190293,3.653628,583.8313,0.8305986983294232,0.38104832705627
42,-2.3040950000000002,3.420255,584.5,0.8305458495607926,0.3810710204644587
43,-2.057358,3.107741,584.1940000000001,0.8307807067531332,0.3810690073062605
44,-2.234463,3.082066,583.8558,0.8310579609884536,0.3811072370648371
45,-2.0909120000000003,3.059059,583.9198,0.8311295605336724,0.3811342925257546
46,-2.306337,3.376211,583.6803,0.8310268629500304,0.38113997812247463
47,-2.3657250000000003,3.976605,582.9636,0.8311344659791746,0.3810280304931163
48,-2.67223,3.9378439999999997,583.8139,0.8315433760742419,0.3810701771099226
49,-2.709401,4.167103,584.1304,0.8316355933101613,0.380831370638102
50,-2.390132,4.2359789999999995,584.3430000000001,0.8319214771061805,0.38088757177957344
51,-2.277813,4.424568,585.0314000000001,0.8317287216357687,0.38075736572354535
52,-2.104061,4.262422,584.7929,0.8317905017644346,0.3807591479982261
53,-2.273472,4.169318,584.3778,0.8319343714297102,0.38081521227061493
54,-2.423276,4.023685,584.3431,0.8321965476197624,0.3809114649219744
55,-2.488886,4.033192,584.5451,0.8320911580127515,0.38079742120467663
56,-2.4435569999999998,3.9640619999999998,584.3609,0.8320773500696139,0.380943508324394
57,-2.565543,4.3864,584.289,0.8319236427288941,0.38099580283183787
58,-2.4899139999999997,4.339064,584.1582000000001,0.8320506037405615,0.38105893353714326
59,-2.5440519999999998,4.231193,584.8876,0.8320259846953455,0.381079872101484
60,-2.506775,4.293632000000001,584.9711,0.8319949104992028,0.38120373091195014
61,-2.6163689999999997,3.9164069999999995,585.1886999999999,0.832176183490233,0.38138565944633396
62,-2.6410460000000002,3.892027,585.2788,0.832065510137298,0.3812241515144107
63,-2.706897,3.3414650000000004,585.1283999999999,0.8319328378688194,0.38122131342830234
64,-2.815206,3.4228970000000003,584.7583999999999,0.8320080573912902,0.3810153329824142
65,-2.709181,3.125445,584.1487,0.8321341391220957,0.38120950835458617
66,-2.902858,3.302601,583.9739,0.831812414392916,0.38112926216141635
67,-2.8657890000000004,3.4834009999999997,583.8197,0.83202393247999,0.38117601007200624
68,-2.711485,3.469475,583.2045,0.8322687966537032,0.38108753518856037
69,-2.61464,3.268616,582.9335,0.8321666236156025,0.3810253879706478
70,-2.518366,3.517716,583.0142,0.8322626465927003,0.38086568399961
71,-2.685104,3.2826929999999996,584.2126000000001,0.8319409550034201,0.3809024246502764
72,-2.6305500000000004,3.144524,583.3788,0.8319774770543258,0.38109325401209904
73,-2.7460899999999997,3.145146,582.8937,0.8320452133943974,0.3810979805798511
74,-2.969914,3.358329,583.0663999999999,0.8318046180560283,0.3812216569509618
75,-3.115088,3.2065748,583.6940000000001,0.8319539371933443,0.3812811079135463
76,-2.898765,3.511064,583.7318,0.8320926098109404,0.38135680093323143
77,-2.757124,3.450298,584.1234000000001,0.8322270596301943,0.3813478965265363
78,-2.5465969999999998,3.447913,584.7015,0.8320940391103816,0.38118272166489625
79,-2.59546,3.650197,585.3952,0.8318647158938084,0.38151358491136145
80,-2.64437,3.27102,584.7180000000001,0.8319118027269526,0.38124996600053673
81,-2.888232,3.148651,584.9093,0.8318877481284199,0.38151162454588433
82,-2.98442,3.1891059999999998,583.9215,0.8319354610755221,0.381716383513707
83,-3.097902,2.908937,584.4574,0.8319117517501805,0.38164398917224407
