Frame,SubFrame,LASI_X,LASI_Y,LASI_Z,RASI_X,RASI_Y,RASI_Z,LPSI_X,LPSI_Y,LPSI_Z,RPSI_X,RPSI_Y,RPSI_Z,LTHI_X,LTHI_Y,LTHI_Z,LKNE_X,LKNE_Y,LKNE_Z,LANK_X,LANK_Y,LANK_Z,LHEE_X,LHEE_Y,LHEE_Z,LP1M_X,LP1M_Y,LP1M_Z,LTOE_X,LTOE_Y,LTOE_Z,LD5M_X,LD5M_Y,LD5M_Z,LLCA_X,LLCA_Y,LLCA_Z,RTHI_X,RTHI_Y,RTHI_Z,RKNE_X,RKNE_Y,RKNE_Z,RANK_X,RANK_Y,RANK_Z,RHEE_X,RHEE_Y,RHEE_Z,RP1M_X,RP1M_Y,RP1M_Z,RTOE_X,RTOE_Y,RTOE_Z,RD5M_X,RD5M_Y,RD5M_Z,RLCA_X,RLCA_Y,RLCA_Z
25,0.0,753.003296,221.318878,912.14502,731.184753,512.031006,902.487305,972.947327,378.316284,834.857788,870.47583,366.829834,1453.893677,860.937744,191.129501,835.020325,765.494019,295.607819,469.557037,891.671936,256.279083,71.310463,914.682373,272.283386,23.963583,741.213928,288.34967,24.848555,693.311829,243.155273,18.922823,778.378601,202.373871,16.251438,893.748535,336.934723,18.731087,876.933228,543.382813,823.39856,772.783386,448.805725,465.584656,897.712036,481.255859,72.276054,914.252625,469.470001,19.949751,745.204895,435.356628,24.970572,694.855774,478.010162,18.98901,781.775391,523.102661,18.20887,895.995483,402.019073,20.589005
26,0.0,752.981567,221.355591,912.126587,731.198486,512.013977,902.477173,972.90863,378.303009,834.81897,870.680481,366.492523,1453.689331,860.942444,191.133774,835.01239,765.539368,295.644653,469.533813,891.635376,256.275543,71.370415,914.711426,272.324646,24.006176,741.223816,288.421204,24.888515,693.321838,243.127304,18.911066,778.382935,202.406998,16.224306,893.506836,336.733826,18.423586,876.944214,543.36499,823.393799,772.747314,448.835876,465.595673,897.680847,481.251984,72.272392,914.264648,469.456421,19.991983,745.234131,435.325714,24.919155,694.743225,477.972961,19.033678,781.777405,523.106323,18.225342,896.07782,401.998291,20.574413
27,0.0,753.048279,221.340347,912.122437,731.242004,512.015625,902.475647,972.940002,378.296021,834.823059,870.451965,366.866608,1453.898315,860.957458,191.13295,835.024414,765.473572,295.61142,469.541138,891.643066,256.281921,71.382164,914.689819,272.334015,24.017941,741.170776,288.416107,24.917799,693.296875,243.153168,18.912859,778.364258,202.405289,16.215277,893.595703,337.176636,18.165182,876.988464,543.372437,823.385559,772.747437,448.83728,465.602081,897.684387,481.238159,72.301773,914.258423,469.469879,19.965126,745.238464,435.389984,25.000328,694.848511,478.000977,18.991114,781.752869,523.072083,18.226768,895.991699,402.000214,20.60474
28,0.0,753.191772,221.205414,912.430115,731.272705,512.049927,902.499939,972.959167,378.318573,834.792664,870.39563,366.89978,1453.921753,860.968811,191.123886,835.022827,765.490112,295.626556,469.550873,891.63031,256.26593,71.374054,914.692444,272.310394,23.977833,741.171631,288.432068,24.96677,693.345276,243.185181,18.904158,778.403198,202.414948,16.204983,893.411072,336.518799,18.473185,877.009827,543.364319,823.355103,772.765198,448.856873,465.604584,897.668762,481.228119,72.324196,914.26825,469.459351,19.981258,745.216919,435.333374,24.96541,694.85907,478.013336,18.985106,781.769226,523.107361,18.216696,896.015747,402.023834,20.654762
29,0.0,753.134644,221.308578,912.200439,731.302185,512.035706,902.520508,972.999939,378.276917,834.76825,870.568665,366.723999,1453.898682,860.982544,191.132996,835.026733,765.460022,295.623993,469.548798,891.637756,256.29657,71.366447,914.677673,272.31601,23.979305,741.149231,288.406708,24.944849,693.321716,243.152405,18.916569,778.390442,202.440231,16.221394,893.56488,336.644714,18.625141,877.051208,543.372925,823.384705,772.79541,448.867157,465.61087,897.706177,481.328064,72.352974,914.272278,469.480103,19.970392,745.216797,435.308411,24.966955,694.847961,478.021088,19.028536,781.790222,523.145569,18.271072,896.011841,402.026398,20.644358
30,0.0,753.28418,221.175995,912.465088,731.32074,512.01593,902.507996,973.038879,378.260895,834.749634,870.291138,366.943512,1453.819824,861.030396,191.150131,835.002197,765.452698,295.629913,469.563873,891.667236,256.286133,71.319412,914.659973,272.321564,23.969578,741.156433,288.422913,24.971096,693.356812,243.179489,18.901655,778.433594,202.412582,16.224506,893.420166,336.546265,18.451653,877.076843,543.358521,823.370911,772.790955,448.872589,465.615936,897.721313,481.326599,72.358543,914.240723,469.456757,19.938015,745.234009,435.3573,24.977566,694.888733,478.025055,19.012604,781.749695,523.114685,18.249525,896.01416,402.021667,20.582787
31,0.0,753.309875,221.173279,912.461365,731.340271,512.060913,902.535767,973.057922,378.283813,834.749695,870.483521,366.696228,1453.697266,861.066406,191.143433,834.997681,765.492615,295.637909,469.590057,891.674255,256.286316,71.317154,914.675842,272.31369,23.974573,741.273438,288.35965,24.8601,693.32074,243.169998,18.937649,778.438843,202.418747,16.220287,893.639648,336.879089,18.509455,877.085266,543.354736,823.365662,772.805908,448.868225,465.612701,897.714111,481.255188,72.332626,914.278015,469.454834,19.936497,745.258789,435.372467,24.985554,694.843689,478.016357,19.046249,781.798584,523.129822,18.307564,896.033997,402.022644,20.569866
32,0.0,753.33374,221.165665,912.448914,731.395203,512.052429,902.533752,973.066528,378.264069,834.769409,870.438232,366.875977,1453.922485,861.088989,191.13446,834.999207,765.47876,295.624573,469.589691,891.654907,256.291107,71.348946,914.684875,272.313385,23.985168,741.218079,288.360992,24.884752,693.332336,243.153381,18.913975,778.373718,202.423843,16.194838,893.475586,336.685181,18.385296,877.134521,543.379456,823.382385,772.793335,448.86441,465.625977,897.698669,481.324219,72.330139,914.269104,469.466095,19.93779,745.200867,435.347992,24.982904,694.779663,477.946808,19.028656,781.759094,523.122131,18.254084,896.040771,402.016571,20.579031
33,0.0,753.336853,221.187485,912.467041,731.447876,512.091125,902.551697,973.132507,378.28418,834.771912,870.505493,366.838531,1453.930908,861.12323,191.167191,835.036194,765.537048,295.657715,469.552094,891.658081,256.280457,71.361282,914.710815,272.327026,23.998394,741.206055,288.372345,24.917603,693.30658,243.176239,18.899576,778.411316,202.425949,16.252905,893.589661,336.787842,18.546646,877.158203,543.369934,823.384827,772.833557,448.866302,465.609283,897.68927,481.248444,72.259628,914.282654,469.452698,19.978477,745.216553,435.355652,24.965374,694.780823,477.971252,19.042379,781.772339,523.157288,18.263855,896.034485,402.029938,20.579586
34,0.0,753.274048,221.358658,912.210266,731.483521,512.07782,902.530457,973.184143,378.304657,834.828186,870.528259,366.862762,1453.921997,861.167114,191.155441,835.037109,765.534546,295.628235,469.574707,891.644775,256.287262,71.372284,914.705933,272.319214,24.013247,741.147339,288.393524,24.916121,693.316223,243.195999,18.923399,778.413147,202.420578,16.188929,895.081055,339.112305,18.717941,877.171936,543.382263,823.372375,772.821289,448.836304,465.597961,897.708618,481.337891,72.357086,914.287964,469.467133,19.990898,745.224304,435.375244,25.006992,694.802246,477.987915,19.04921,781.81134,523.118042,18.250605,896.013062,402.026215,20.601933
